Kinetic_energy,Total_st_pw
1.000E-02,2.265E+01
1.250E-02,1.903E+01
1.500E-02,1.650E+01
1.750E-02,1.463E+01
2.000E-02,1.319E+01
2.500E-02,1.109E+01
3.000E-02,9.646E+00
3.500E-02,8.581E+00
4.000E-02,7.764E+00
4.500E-02,7.115E+00
5.000E-02,6.588E+00
5.500E-02,6.150E+00
6.000E-02,5.780E+00
7.000E-02,5.191E+00
8.000E-02,4.741E+00
9.000E-02,4.386E+00
1.000E-01,4.099E+00
1.250E-01,3.576E+00
1.500E-01,3.222E+00
1.750E-01,2.969E+00
2.000E-01,2.779E+00
2.500E-01,2.514E+00
3.000E-01,2.342E+00
3.500E-01,2.222E+00
4.000E-01,2.134E+00
4.500E-01,2.066E+00
5.000E-01,2.014E+00
5.500E-01,1.973E+00
6.000E-01,1.941E+00
7.000E-01,1.893E+00
8.000E-01,1.861E+00
9.000E-01,1.839E+00
1.000E+00,1.824E+00
1.250E+00,1.804E+00
1.500E+00,1.799E+00
1.750E+00,1.801E+00
2.000E+00,1.807E+00
2.500E+00,1.823E+00
3.000E+00,1.842E+00
3.500E+00,1.862E+00
4.000E+00,1.882E+00
4.500E+00,1.901E+00
5.000E+00,1.919E+00
5.500E+00,1.937E+00
6.000E+00,1.954E+00
7.000E+00,1.988E+00
8.000E+00,2.019E+00
9.000E+00,2.049E+00
1.000E+01,2.078E+00
1.250E+01,2.147E+00
1.500E+01,2.212E+00
1.750E+01,2.274E+00
2.000E+01,2.335E+00
2.500E+01,2.453E+00
3.000E+01,2.569E+00
3.500E+01,2.683E+00
4.000E+01,2.796E+00
4.500E+01,2.908E+00
5.000E+01,3.020E+00
5.500E+01,3.131E+00
6.000E+01,3.243E+00
7.000E+01,3.465E+00
8.000E+01,3.687E+00
9.000E+01,3.909E+00
1.000E+02,4.130E+00
1.250E+02,4.685E+00
1.500E+02,5.241E+00
1.750E+02,5.797E+00
2.000E+02,6.353E+00
2.500E+02,7.468E+00
3.000E+02,8.585E+00
3.500E+02,9.704E+00
4.000E+02,1.082E+01
4.500E+02,1.195E+01
5.000E+02,1.307E+01
5.500E+02,1.419E+01
6.000E+02,1.531E+01
7.000E+02,1.756E+01
8.000E+02,1.981E+01
9.000E+02,2.206E+01
1.000E+03,2.432E+01